level_0,index,Year,Christianity_pop,Judaism_pop,Islam_pop,Buddhism_pop,Zoroastrian_pop,Hindu_pop,Sike_pop,Shinto_pop,Baha'i_pop,Taoism_pop,Confucianism_pop,Jain_pop,Syncretic Religions_pop,Animist_pop,Non Religious_pop,Other Religions_pop,Total Religious_pop,Population_pop,Christianity _pct,Judaism _pct,Islam _pct,Buddhism _pct,Zoroastrian _pct,Hindu _pct,Sike _pct,Shinto _pct,Baha'i _pct,Taoism _pct,Confucianism _pct,Jain _pct,Syncretic Religions _pct,Animist _pct,Non Religious _pct,Other Religions _pct,Total Religious _pct,Country,Region,SubRegion
63,185,2005,67920,0,137,0,0,27,0,0,314,0,0,0,1111,0,4421,9070,73930,83000,0.8183,0.0,0.0017,0.0,0.0,0.0003,0.0,0.0,0.0038,0.0,0.0,0.0,0.0134,0.0,0.0533,0.1093,0.8907,Antigua and Barbuda,Latin America and the Caribbean,Caribbean
64,186,2010,79425,0,0,0,0,0,0,0,0,0,0,0,0,0,5127,2348,84552,86900,0.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.027,0.973,Antigua and Barbuda,Latin America and the Caribbean,Caribbean
65,188,1990,35517,0,0,0,0,162,0,0,200,0,0,0,0,0,1701,2920,37580,40500,0.877,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0049,0.0,0.0,0.0,0.0,0.0,0.042,0.0721,0.9279,Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean
66,189,1995,36837,0,64,0,0,266,0,0,192,0,0,0,0,0,3094,2959,40453,43412,0.8485,0.0,0.0015,0.0,0.0,0.0061,0.0,0.0,0.0044,0.0,0.0,0.0,0.0,0.0,0.0713,0.0682,0.9318,Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean
67,190,2000,38155,0,129,0,0,370,0,0,185,0,0,0,0,0,4488,2998,43327,46325,0.8236,0.0,0.0028,0.0,0.0,0.008,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0969,0.0647,0.9353,Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean
68,191,2005,41839,0,135,0,0,426,0,0,92,0,0,0,0,0,4494,1014,46986,48000,0.8716,0.0,0.0028,0.0,0.0,0.0089,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0936,0.0211,0.9789,Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean
69,192,2010,45525,0,141,0,0,481,0,0,0,0,0,0,0,0,4500,53,50647,50700,0.8979,0.0,0.0028,0.0,0.0,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0888,0.001,0.999,Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean
70,202,1990,80606800,105000,0,0,0,5400,0,0,0,0,0,0,0,0,2451100,57700,83168300,83226000,0.9685,0.0013,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295,0.0007,0.9993,Mexico,Latin America and the Caribbean,Central America
71,203,1995,87909596,61000,128584,11470,0,5705,0,0,0,5043,0,0,0,36225,2250550,78827,90408173,90487000,0.9715,0.0007,0.0014,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0004,0.0249,0.0009,0.9991,Mexico,Latin America and the Caribbean,Central America
72,204,2000,95812392,122001,257168,22940,0,6010,0,0,0,10086,0,0,0,72450,2050000,527953,98353047,98881000,0.969,0.0012,0.0026,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0007,0.0207,0.0053,0.9947,Mexico,Latin America and the Caribbean,Central America
