ISO Code;Country;UN Region;UN Sub Region;SDG Region;Development Regions;UNICEF Region;UNICEF Sub-Regions;WHO Region;World Bank Income Groups;World Bank Income Groups Combined;World Bank Regions
BGD;Bangladesh;Asia;Southern Asia;Central Asia and Southern Asia;Least Developed;ROSA;SA;SEARO;Lower Middle Income;Middle Income;South Asia
BRB;Barbados;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;High Income;High Income;Latin America & Caribbean
BLR;Belarus;Europe;Eastern Europe;Northern America and Europe;More Developed;ECA;EECA;EURO;Upper Middle Income;Middle Income;Europe & Central Asia
BEL;Belgium;Europe;Western Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
BLZ;Belize;Latin America and the Caribbean;Central America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
BEN;Benin;Africa;Western Africa;Sub-Saharan Africa;Least Developed;SSA;WCA;AFRO;Low Income;Low Income;Sub-Saharan Africa
BTN;Bhutan;Asia;Southern Asia;Central Asia and Southern Asia;Least Developed;ROSA;SA;SEARO;Lower Middle Income;Middle Income;South Asia
BOL;Bolivia (Plurinational State of);Latin America and the Caribbean;South America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Lower Middle Income;Middle Income;Latin America & Caribbean
BIH;Bosnia and Herzegovina;Europe;Southern Europe;Northern America and Europe;More Developed;ECA;EECA;EURO;Upper Middle Income;Middle Income;Europe & Central Asia
BWA;Botswana;Africa;Southern Africa;Sub-Saharan Africa;Less Developed;SSA;ESA;AFRO;Upper Middle Income;Middle Income;Sub-Saharan Africa
BRA;Brazil;Latin America and the Caribbean;South America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
VGB;British Virgin Islands;Not Classified;Not Classified;Not Classified;Not Classified;LACRO;LAC;Not Classified;High Income;High Income;Not Classified
BRN;Brunei Darussalam;Asia;South-Eastern Asia;Eastern Asia and South-eastern Asia;Less Developed;EAPRO;EAP;WPRO;High Income;High Income;East Asia & Pacific
BGR;Bulgaria;Europe;Eastern Europe;Northern America and Europe;More Developed;ECA;EECA;EURO;Upper Middle Income;Middle Income;Europe & Central Asia
BFA;Burkina Faso;Africa;Western Africa;Sub-Saharan Africa;Least Developed;SSA;WCA;AFRO;Low Income;Low Income;Sub-Saharan Africa
BDI;Burundi;Africa;Eastern Africa;Sub-Saharan Africa;Least Developed;SSA;ESA;AFRO;Low Income;Low Income;Sub-Saharan Africa
CPV;Cabo Verde;Africa;Western Africa;Sub-Saharan Africa;Less Developed;SSA;WCA;AFRO;Lower Middle Income;Middle Income;Sub-Saharan Africa
KHM;Cambodia;Asia;South-Eastern Asia;Eastern Asia and South-eastern Asia;Least Developed;EAPRO;EAP;WPRO;Lower Middle Income;Middle Income;East Asia & Pacific
CMR;Cameroon;Africa;Middle Africa;Sub-Saharan Africa;Less Developed;SSA;WCA;AFRO;Lower Middle Income;Middle Income;Sub-Saharan Africa
CAN;Canada;Northern America;Northern America;Northern America and Europe;More Developed;NA;NA;AMRO;High Income;High Income;North America
CAF;Central African Republic;Africa;Middle Africa;Sub-Saharan Africa;Least Developed;SSA;WCA;AFRO;Low Income;Low Income;Sub-Saharan Africa
TCD;Chad;Africa;Middle Africa;Sub-Saharan Africa;Least Developed;SSA;WCA;AFRO;Low Income;Low Income;Sub-Saharan Africa
CHL;Chile;Latin America and the Caribbean;South America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;High Income;High Income;Latin America & Caribbean
CHN;China;Asia;Eastern Asia;Eastern Asia and South-eastern Asia;Less Developed;EAPRO;EAP;WPRO;Upper Middle Income;Middle Income;East Asia & Pacific
COL;Colombia;Latin America and the Caribbean;South America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
COM;Comoros;Africa;Eastern Africa;Sub-Saharan Africa;Least Developed;SSA;ESA;AFRO;Low Income;Low Income;Sub-Saharan Africa
COG;Congo;Africa;Middle Africa;Sub-Saharan Africa;Less Developed;SSA;WCA;AFRO;Lower Middle Income;Middle Income;Sub-Saharan Africa
COK;Cook Islands;Oceania;Polynesia;Oceania excluding Australia and New Zealand;Less Developed;EAPRO;EAP;WPRO;Not Classified;Not Classified;Not Classified
CRI;Costa Rica;Latin America and the Caribbean;Central America;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
CIV;Côte d'Ivoire;Africa;Western Africa;Sub-Saharan Africa;Less Developed;SSA;WCA;AFRO;Lower Middle Income;Middle Income;Sub-Saharan Africa
HRV;Croatia;Europe;Southern Europe;Northern America and Europe;More Developed;ECA;EECA;EURO;Upper Middle Income;Middle Income;Europe & Central Asia
CUB;Cuba;Latin America and the Caribbean;Caribbean;Latin America and the Caribbean;Less Developed;LACRO;LAC;AMRO;Upper Middle Income;Middle Income;Latin America & Caribbean
CYP;Cyprus;Asia;Western Asia;Western Asia and Northern Africa;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
CZE;Czechia;Europe;Eastern Europe;Northern America and Europe;More Developed;ECA;WE;EURO;High Income;High Income;Europe & Central Asia
