,year,country,Christianity,Judaism,Islam,Buddhism,Hindu,Shinto,Confus_Tao,code,gdp,un_region,hdi,conflict_present
569,1995,Luxembourg,376823,699,5850,0,0,0,0,LUX,20853093869.7318,Europe,0.0,0.0
571,2000,Luxembourg,404690,600,6000,0,0,0,0,LUX,21230182989.3036,Europe,0.864,0.0
573,2005,Luxembourg,436200,650,9000,0,0,0,0,LUX,37672280120.4794,Europe,0.0,0.0
575,2010,Luxembourg,460637,600,10139,0,0,0,0,LUX,56213985987.4168,Europe,0.912,0.0
595,1990,France,44618413,575000,1810000,307948,40000,0,0,FRA,1257649439826.53,Europe,0.79,0.0
597,1995,France,43939194,581390,2677400,378182,42302,0,0,FRA,1595219345511.89,Europe,0.0,0.0
599,2000,France,42875006,620000,4450000,594540,0,0,0,FRA,1360959069477.49,Europe,0.844,0.0
601,2005,France,42399613,600000,5500000,609960,0,0,0,FRA,2192146403028.17,Europe,0.0,0.0
603,2010,France,44023361,480000,4950000,650755,51000,0,0,FRA,2646230027988.34,Europe,0.88,0.0
605,1995,Monaco,29105,539,136,0,0,0,0,MCO,3130309995.30848,Europe,0.0,0.0
606,2000,Monaco,28250,500,1197,0,0,0,0,MCO,2654462665.26893,Europe,0.8035476190476191,0.0
607,2005,Monaco,27399,500,730,0,0,0,0,MCO,4204652898.73103,Europe,0.0,0.0
608,2010,Monaco,26550,500,264,0,0,0,0,MCO,5367561569.59548,Europe,0.8553333333333333,0.0
609,1990,Liechtenstein,27120,40,600,0,0,0,0,LIE,1421509216.37424,Europe,0.871,0.0
610,1995,Liechtenstein,28428,41,1319,0,0,0,0,LIE,2428525060.69927,Europe,0.0,0.0
611,2000,Liechtenstein,29285,26,1593,66,0,0,0,LIE,2483889858.32312,Europe,0.871,0.0
612,2005,Liechtenstein,30158,33,1776,0,0,0,0,LIE,3659319116.88057,Europe,0.0,0.0
613,2010,Liechtenstein,31031,40,1960,148,0,0,0,LIE,5082337238.44718,Europe,0.916,0.0
623,1990,Switzerland,6064100,17600,152200,1030,1800,0,0,CHE,265763573999.424,Europe,0.85,0.0
624,1995,Switzerland,6091621,17750,231500,10480,12311,0,0,CHE,352835806342.495,Europe,0.0,0.0
625,2000,Switzerland,6119143,17900,310800,19931,22823,0,0,CHE,279216033870.204,Europe,0.885,0.0
626,2005,Switzerland,6408536,17923,312354,24170,23129,0,0,CHE,418284865884.998,Europe,0.0,0.0
627,2010,Switzerland,6303993,17500,322000,25431,24336,0,0,CHE,598851028906.58,Europe,0.94,0.0
637,1990,Spain,37464150,12800,170000,16500,0,0,0,ESP,536175326477.31,Europe,0.762,0.0
638,1995,Spain,37249500,29583,300000,13838,0,0,0,ESP,614170002668.802,Europe,0.0,0.0
639,2000,Spain,34100000,52000,450000,12000,0,0,0,ESP,598102854756.08,Europe,0.828,0.0
640,2005,Spain,36380000,35000,1100000,9000,0,0,0,ESP,1154667551775.88,Europe,0.0,0.0
641,2010,Spain,37121529,12000,1400000,10200,0,0,0,ESP,1427989078916.67,Europe,0.868,0.0
642,1995,Andorra,62680,257,448,0,207,0,0,AND,1178745282.8678,Europe,0.0,0.0
643,2000,Andorra,72946,0,500,0,0,0,0,AND,1432606296.26722,Europe,0.815,0.0
644,2005,Andorra,74445,0,400,0,0,0,0,AND,3161084846.97686,Europe,0.0,0.0
645,2010,Andorra,77546,0,769,0,300,0,0,AND,3449925693.58181,Europe,0.863,0.0
655,1990,Portugal,9344537,500,20000,50000,0,0,0,PRT,78713860216.5659,Europe,0.703,0.0
656,1995,Portugal,9263964,467,28910,52650,0,0,0,PRT,118122007430.012,Europe,0.0,0.0
657,2000,Portugal,8437963,1773,35000,55300,7000,0,0,PRT,118605192877.388,Europe,0.793,0.0
658,2005,Portugal,8780641,2482,62993,57449,6693,0,0,PRT,197253876704.921,Europe,0.0,0.0
659,2010,Portugal,9123319,3192,90987,59598,6386,0,0,PRT,238443864993.217,Europe,0.831,0.0
